294959,1327824
252921,4673825
2200091,212
205125,28018525
2558574,24542
79568,12754063
1455312,4060277
725255,591454
290918,64956661
1351463,8035295
1731349,1870434
2359892,7022876
2160558,7656736
2333195,58315
691679,6691863
1031823,13165624
1213569,650248
1464151,7380788
769123,10970768
191660,1527548
1764473,4465397
2247595,118359
2462150,4109839
2180235,13980661
414090,25862
1501807,5562006
2534662,570868
765846,1533
580525,7738229
1017068,1568937
1255120,8410573
469464,1679466
1682614,977280
2310571,280484
1978560,14377408
748017,4592658
988733,5998538
1511190,1327160
794276,7145458
1643282,3004491
2560350,94188
1061487,7235877
1527348,8035393
1210521,157463
2162904,48507695
857430,3862541
1436403,652188
709394,86608
693534,4318932
449672,51122952
1498991,405656
1429276,873461
253307,1549537
811270,157785
2111439,5526927
893699,327618
515507,15727693
2501285,3728840
235637,769454
1296625,110172
133961,3052605
4189,59022
110014,650920
2129883,9486428
979310,13713697
823392,11463515
2260420,410699
816019,3720848
557660,1833619
112919,3254426
1857029,55359117
462073,3802830
2348293,5185777
1753992,430055
907120,1363369
944771,1025504
1355092,606364
2143902,352136
2509763,6741474
726629,7602435
1753555,77190
143557,1001966
2533174,3396517
760590,7067502
2244248,3572204
996530,4062195
1540940,10812891
1342589,32426287
2205528,5812917
2485868,880259
2386113,1050680
2453747,12484847
431735,956786
251638,146826
451139,26091540
284458,2831578
1660007,1366974
715793,1948196
2514958,8043225
750397,3607807
1429475,6980159
2075119,6712062
2565820,1094
652626,2868
1067188,10893387
642787,1751784
1217071,8744
684510,884960
1537805,2154170
1069092,4064544
1656356,72046
193361,78401
1161176,2183524
2217924,537469
825835,3214812
108475,34441999
1117837,345469
153688,5013198
1309761,691657
816956,1354336
1952554,5793149
517854,31497
1066476,4753869
2416637,1126064
834166,4641069
1272759,14323331
766631,1417230
1176563,1700307
1865580,468292
1059236,9473
2650107,12270530
1527317,3700166
91248,377753
676792,935468
2169521,55118
1923893,737
725067,429424
1649320,23178634
13393,2041
435923,8233920
443582,856107
518012,7190000
996747,23777
2278744,9314721
1022764,3546240
2105238,4595300
1480991,4076672
2186005,194510
2012027,502464
649609,4572926
1712222,980068
1214399,15220172
1280892,7309285
2568968,51416
1301217,235838
109184,18610
540636,14456115
1895858,1282219
1351178,9838092
1038563,562641
760256,2887871
1771827,6453554
1047675,1313003
768486,837
1359575,5341895
873599,2362233
708335,2710123
1712218,13278619
1451952,2918278
1479832,11113312
587410,2332068
1172502,312153
1686348,3980017
1593952,76758
1893437,3163303
219406,4297607
654625,124131
808990,86664
1181329,24083692
752431,12806572
900791,3050733
861134,5955645
52359,2420040
1413152,38930
860314,5782817
1616464,17231592
2474054,263174
982346,9895
437771,22203567
2155151,10630749
1672777,53945
1575279,1302697
706560,8571047
1933163,131504
142731,753237
1242770,4097762
1260180,107603
1367360,25321655
1558115,3283030
2275335,1798496
2192492,9401597
1761020,7008216
517286,14961
182462,8959577
243202,2150714
992652,8153194
1532058,2552373
1765696,580400
2199010,2277941
333765,4659062
394451,6960289
911741,5327681
213699,1788100
726357,55971959
1321954,31108
1253015,236879
2377016,372674
2269982,107603
525224,10749697
1131177,112318
2470061,36225
258151,105035
1113790,5526651
1283611,27140285
2616268,4620894
387349,2133692
164237,12890
1847552,25346849
498911,2649970
750670,996439
1920732,240969
767503,14489327
850716,178496
2094092,13015115
625086,792600
76538,159831
2515961,86629
1927245,12084887
2292716,837
1047672,95895
720560,5448014
667353,3430701
2324814,19731651
835247,1388265
1231116,2920831
1987742,7150020
2606080,57980
862306,6958400
728997,1473151
934567,4886690
2578121,752512
2174277,707259
2513906,1631263
1410855,8744200
1803702,29493
873476,1795839
1722756,8323043
944281,2126388
1723861,316019
909326,12198457
1929695,52347
2384626,2051922
371406,142728
2209724,397379
1271082,13654281
1275429,8316836
851587,917689
2185479,4403435
312845,2165293
1278743,1287620
2076996,11155060
90631,5397264
669072,122036
2453068,451696
2583368,1185240
2306327,2566779
358918,2624
290663,21448
1058004,140233
1396868,1571367
2165886,609568
2254250,2119627
1534651,1504071
2565603,5974468
1349830,1247820
18164,4984282
1624294,1753855
1763636,295336
110911,301370
9510,417568
1025468,13050586
1598878,13639553
1252791,4554185
51888,5046050
2493214,3631757
758296,99819
1226561,39731
415703,11157192
1349530,61244859
1373336,14120998
2242667,35787
38878,9287050
1406015,1281778
2089441,1649037
2199813,2262188
2452740,1041550
1106571,3777386
1684304,25078446
1801197,7759776
535190,22397302
2296253,912879
1515772,3214012
149386,3274945
1212766,420013
1353685,5210473
889761,10851057
2343874,9692656
1049051,353474
1550903,4574713
1470066,82175
156494,5647713
1942952,4093002
2219258,5810891
352144,211712
2545542,28449
405010,417568
374538,1826485
2346492,242045
595335,211966
1111686,763997
1025419,4514083
1360016,4350
343019,4325166
654007,56064970
2462634,608072
473453,7096587
1731509,115550
1061084,56745
1463052,2606243
1124178,87526
1547385,4793536
1752816,829669
354426,8478803
459018,825680
1945114,3093029
2583751,12769
548440,9299898
253512,4628280
1628598,5391606
451609,108546
588634,1860465
12987,7460461
1145017,291800
718160,4443119
1257650,1564451
1247905,37670
719619,2832746
13546,25185498
667496,1724027
2212441,1350636
970101,6272637
734353,1956441
939801,6660375
2472947,39536481
591390,815760
2027823,1790346
433465,428861
1230960,1566050
275608,1616459
1893418,9390994
200313,9479845
1308418,44704
1601129,6570202
1202599,23313954
2254472,456612
78375,2467556
2550261,460954
1202591,5248
2341779,5017630
2613617,120492
694418,6141916
770387,5641798
533641,6523202
585771,1302186
343637,1326215
1601256,2213025
947033,31259036
800781,10471790
1392759,2222495
636358,185119
1154361,414283
1346594,6243571
916347,5707213
1384272,429996
410683,9688452
1541784,3597738
1426001,53199
1095947,711367
1017288,945192
961783,3425956
2344386,771438
2206383,3558063
2093753,3939615
918689,547814
915951,2045235
438963,2457171
600237,4193429
1817269,1470817
841081,2347331
1824661,47746776
959851,204085
2547148,213645
807404,1722169
1545393,2611717
2596776,3563145
1867835,512273
1745474,3850380
1737289,5203483
2286903,6985772
265913,12981451
199925,112131
296081,8259230
219810,11553418
745346,275297
1151121,353101
2641560,280763
2618090,672
1534265,12665035
768679,12500531
589477,1201013
190603,2906131
312177,6049
390310,8409780
1515001,5088553
2595652,2128493
825904,5384177
2431294,62367241
660494,1987846
34982,13565938
468989,10550759
415324,3921114
2284019,808811
2247867,224189
2095572,3776624
914521,221021
991815,186963
2214862,16248855
1964665,1759979
1311240,2477423
638617,430271
1773807,1532038
443315,1729871
